shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_177169,41.298499,-92.642872,41,1206.93960525
p_177169,41.2985,-92.6427,42,1221.34580121
p_177169,41.298496,-92.641533,43,1319.08827291
p_177169,41.298498,-92.640946,44,1368.25264713
p_177169,41.2985,-92.640498,45,1405.77530489
p_177169,41.298501,-92.640364,46,1416.99895243
p_177169,41.298503,-92.639772,47,1466.58209097
p_177169,41.298505,-92.63919,48,1515.32769195
p_177169,41.298509,-92.638158,49,1601.76343088
p_177169,41.298509,-92.638024,50,1612.98652748
p_177169,41.298514,-92.636687,51,1724.96760266
p_177169,41.298518,-92.635682,52,1809.14199041
p_177169,41.298519,-92.635499,53,1824.46945531
p_177169,41.298523,-92.63451,54,1907.3037846
p_177169,41.298527,-92.633332,55,2005.96750532
p_177169,41.298528,-92.633187,56,2018.11240526
p_177169,41.298533,-92.631896,57,2126.24079346
p_177169,41.299689,-92.631881,58,2254.63194622
p_177169,41.299745,-92.63188,59,2260.85185364
p_177169,41.3004181709435,-92.6318702244865,60,2335.61850801
p_177169,41.3010329847989,-92.631870194083,61,2403.89956586
p_177169,41.3010254881917,-92.6305197274184,62,2517.00587177
p_177169,41.3002500356868,-92.6305275909215,63,2603.12993061
p_177169,41.3000370159666,-92.630529706095,64,2626.78850304
p_177169,41.300035326706,-92.6305275909215,65,2627.04653319
p_177169,41.299838,-92.630528,66,2648.96160669
p_177169,41.299781,-92.630564,67,2655.97337084
p_177169,41.299752,-92.630639,68,2663.03239996
p_177169,41.299742,-92.630723,69,2670.154762
p_177169,41.299745,-92.63188,70,2767.05740876
p_177169,41.298533,-92.631896,71,2901.66842876
p_177169,41.298527,-92.633332,72,3021.94162952
p_177169,41.298523,-92.634383,73,3109.96865825
p_177169,41.298523,-92.63451,74,3120.60547141
p_177169,41.2971575560898,-92.6344961275194,75,3272.25567161
p_177169,41.297154,-92.635667,76,3370.32427702
p_177169,41.297153,-92.636733,77,3459.60844065
p_177169,41.297152,-92.638017,78,3567.1514428
p_177169,41.297149,-92.638608,79,3616.65247243
p_177169,41.297144,-92.639006,80,3649.99206292
p_177169,41.297142,-92.639197,81,3665.99103902
p_177169,41.297144,-92.63978,82,3714.82140863
p_177169,41.297142,-92.640361,83,3763.48426758
p_177169,41.297137,-92.640936,84,3811.64728626
p_177169,41.297133,-92.641364,85,3847.4976966
p_177169,41.297132,-92.641529,86,3861.31791801
p_177169,41.298496,-92.641533,87,4012.80367671
p_177169,41.298692,-92.641532,88,4034.57153588
p_177169,41.2989642620984,-92.6415302627847,89,4064.80922976
p_177169,41.2989648710158,-92.6415260229227,90,4065.17071662
p_177169,41.299287,-92.641532,91,4100.94976535
p_177169,41.300348,-92.641531,92,4218.78414486
p_177169,41.301532,-92.641536,93,4350.27953114
p_177169,41.30166,-92.641537,94,4364.49542482
p_177169,41.302865,-92.641558,95,4498.33398561
p_177169,41.30419,-92.641562,96,4645.48857461
p_177169,41.304239,-92.641572,97,4650.99456762
p_177169,41.304287,-92.641581,98,4656.378458
p_177169,41.304358,-92.641616,99,4664.79087201
p_177169,41.304417,-92.641642,100,4671.69570956
p_177169,41.304482,-92.641651,101,4678.95383764
p_177169,41.304894,-92.641642,102,4724.71668334
p_177169,41.305073,-92.64163,103,4744.62177379
p_177169,41.305295,-92.6416,104,4769.40472722
p_177169,41.305591,-92.641558,105,4802.46606454
p_177169,41.305805,-92.641556,106,4826.23345649
p_177169,41.307426,-92.641564,107,5006.26270237
p_177169,41.308255,-92.641571,108,5098.33319484
p_177169,41.308348,-92.641572,109,5108.6621024
p_177169,41.308353,-92.641572,110,5109.21740176
p_177169,41.310943,-92.641598,111,5396.87077718
p_177169,41.310972,-92.641598,112,5400.09151495
p_177169,41.311047,-92.641609,113,5408.47178602
p_177169,41.311218,-92.641633,114,5427.56907513
p_177169,41.311375,-92.641665,115,5445.21018381
p_177169,41.311516,-92.641714,116,5461.39827476
p_177169,41.311784,-92.641836,117,5492.86676597
p_177169,41.312028,-92.641992,118,5522.94961863
p_177169,41.312326,-92.642223,119,5561.28363894
p_177169,41.312707,-92.642602,120,5614.17639971
p_177169,41.313666,-92.64353,121,5746.01709184
p_177169,41.312616,-92.645436,122,5943.68054358
p_177169,41.312555,-92.645546,123,5955.11464434
p_177169,41.312486,-92.645731,124,5972.3976624
p_177169,41.31134,-92.645678,125,6099.74971014
p_177169,41.310844,-92.645657,126,6154.86349466
p_177169,41.310377,-92.645637,127,6206.7555089
p_177169,41.310329,-92.645635,128,6212.08901482
p_177169,41.310277,-92.645633,129,6217.8665581
p_177169,41.309738,-92.645615,130,6277.74682101
p_177169,41.308597,-92.645561,131,6404.54681251
p_177169,41.307753,-92.645517,132,6498.3537351
p_177169,41.307741,-92.646944,133,6617.86190384
p_177169,41.3077415840901,-92.6480038050377,134,6706.61279975
p_177169,41.3077426213329,-92.648001652646,135,6706.82671351
p_177169,41.307743,-92.648282,136,6730.3037783
p_177169,41.307741,-92.648899,137,6781.97346432
p_177169,41.307739,-92.649504,138,6832.63824968
p_177169,41.307741,-92.650662,139,6929.6124836
p_177169,41.307613,-92.65066,140,6943.82913225
p_177169,41.306203,-92.65064,141,7100.43247013
p_177169,41.305663,-92.650631,142,7160.40951207
p_177169,41.305121,-92.650633,143,7220.60416509
p_177169,41.30441,-92.65063,144,7299.56808497
p_177169,41.30436,-92.65063,145,7305.12107477
p_177169,41.303494,-92.65063,146,7401.29885043
p_177169,41.303021,-92.65064,147,7453.83679901
p_177169,41.302225,-92.650635,148,7542.24136122
p_177169,41.301808,-92.650632,149,7588.55395856
p_177169,41.301126,-92.650634,150,7664.29688612
p_177169,41.301125,-92.650543,151,7671.91904581
p_177169,41.301118,-92.649847,152,7730.21500232
p_177169,41.300741,-92.649846,153,7772.08460396
p_177169,41.300721,-92.649846,154,7774.30579847
p_177169,41.300133,-92.64985,155,7839.60977276
p_177169,41.29935,-92.649854,156,7926.57016795
p_177169,41.298904,-92.649848,157,7976.10534061
p_177169,41.298476,-92.649841,158,8023.64250156
p_177169,41.2971874100809,-92.6498446209473,159,8166.75319297
p_177169,41.2971790623245,-92.6498483246562,160,8167.73081342
p_177169,41.297099,-92.649846,161,8176.62463911
p_177169,41.297095,-92.650533,162,8234.16690356
p_177169,41.297093,-92.651003,163,8273.53297353
p_177169,41.297091,-92.651571,164,8321.10705055
p_177169,41.29709,-92.652152,165,8369.76956833
p_177169,41.297085,-92.652754,166,8420.19390099
p_177169,41.29708,-92.653334,167,8468.77571538
p_177169,41.297087,-92.653923,168,8518.11428702
p_177169,41.297093,-92.654523,169,8568.37246523
p_177169,41.297094,-92.655546,170,8654.05519428
p_177169,41.297094,-92.655688,171,8665.94858354
p_177169,41.297093,-92.656256,172,8713.52227057
p_177169,41.297086,-92.656862,173,8764.28452244
p_177169,41.297093,-92.657436,174,8812.36690558
p_177169,41.297096,-92.658032,175,8862.28674945
p_177169,41.297094,-92.658633,176,8912.62475243
p_177169,41.297092,-92.659203,177,8960.36633943
p_177169,41.297572,-92.659201,178,9013.67523916
p_177169,41.297983,-92.659199,179,9059.32107011
p_177169,41.298378,-92.659197,180,9103.1899619
p_177169,41.298459,-92.659197,181,9112.18579602
p_177169,41.299349,-92.659215,182,9211.04041621
p_177169,41.299608,-92.659448,183,9245.79973084
p_177169,41.299761,-92.659586,184,9266.35010453
p_177169,41.300081,-92.659892,185,9310.16606493
p_177169,41.30025,-92.660071,186,9334.18749082
p_177169,41.300288,-92.660116,187,9339.84566149
p_177169,41.300351,-92.660189,188,9349.13729896
p_177169,41.300487,-92.66042,189,9373.68174516
p_177169,41.300611,-92.66065,190,9397.36109991
p_177169,41.300676,-92.660777,191,9410.21593257
p_177169,41.300948,-92.661312,192,9464.25490321
p_177169,41.301265,-92.661917,193,9525.95457365
p_177169,41.301552,-92.662467,194,9581.97022021
p_177169,41.302354,-92.664024,195,9739.88571399
p_177169,41.302875,-92.665034,196,9842.36954303
p_177169,41.303322,-92.665889,197,9929.50036396
p_177169,41.303563,-92.66635,198,9976.47861817
p_177169,41.303644,-92.666502,199,9992.06611588
p_177169,41.303673,-92.666571,200,9998.68165621
p_177169,41.303697,-92.666653,201,10006.04811093
p_177169,41.303713,-92.666731,202,10012.81781503
p_177169,41.303727,-92.666801,203,10018.8828465
p_177169,41.303728,-92.666805,204,10019.23576762
p_177169,41.303735,-92.666833,205,10021.70621531
p_177169,41.303747,-92.666876,206,10025.54606467
p_177169,41.303759,-92.666915,207,10029.07366298
p_177169,41.303799,-92.666989,208,10036.69873655
p_177169,41.303813,-92.666997,209,10038.39177912
p_177169,41.303826,-92.667007,210,10040.06086859
p_177169,41.303839,-92.667018,211,10041.77351169
p_177169,41.30385,-92.667031,212,10043.40989696
p_177169,41.303861,-92.667046,213,10045.16218731
p_177169,41.30387,-92.667061,214,10046.76753772
p_177169,41.303878,-92.667078,215,10048.44573348
p_177169,41.303883,-92.667092,216,10049.74305137
p_177169,41.303885,-92.667096,217,10050.14499118
p_177169,41.30389,-92.667115,218,10051.83030617
p_177169,41.303894,-92.667135,219,10053.56316805
p_177169,41.303897,-92.667154,220,10055.18887946
p_177169,41.303898,-92.667174,221,10056.86750857
p_177169,41.303898,-92.667195,222,10058.62620728
p_177169,41.303896,-92.667215,223,10060.3158222
p_177169,41.303892,-92.667234,224,10061.96787475
p_177169,41.303887,-92.667253,225,10063.65318969
p_177169,41.303881,-92.667272,226,10065.37828792
p_177169,41.303874,-92.667289,227,10067.00042436
p_177169,41.303865,-92.667305,228,10068.67212206
p_177169,41.303855,-92.66732,229,10070.34887531
p_177169,41.303844,-92.667334,230,10072.04213415
p_177169,41.303832,-92.667346,231,10073.71129672
p_177169,41.303819,-92.667357,232,10075.42393987
p_177169,41.303805,-92.667366,233,10077.15183613
p_177169,41.303791,-92.667373,234,10078.81351844
p_177169,41.303776,-92.667378,235,10080.53123611
p_177169,41.303763,-92.66738,236,10081.98469657
p_177169,41.303761,-92.667381,237,10082.22207977
p_177169,41.303746,-92.667382,238,10083.89008027
p_177169,41.303731,-92.667381,239,10085.55808077
p_177169,41.303716,-92.667378,240,10087.24281671
p_177169,41.303701,-92.667373,241,10088.96053447
p_177169,41.303687,-92.667366,242,10090.62221709
p_177169,41.303673,-92.667358,243,10092.31526014
p_177169,41.30366,-92.667347,244,10094.02790446
p_177169,41.303648,-92.667335,245,10095.6970687
p_177169,41.303637,-92.667321,246,10097.39033008
p_177169,41.30357,-92.66728,247,10105.58536624
p_177169,41.30352,-92.667263,248,10111.31796202
p_177169,41.303446,-92.667242,249,10119.72245766
p_177169,41.303344,-92.667217,250,10131.24241373
p_177169,41.30328,-92.667193,251,10138.62896378
p_177169,41.303234,-92.667171,252,10144.05980141
p_177169,41.30319,-92.667143,253,10149.47994648
p_177169,41.303016,-92.667008,254,10171.86876917
p_177169,41.30281,-92.666888,255,10196.85710273
p_177169,41.3026,-92.666777,256,10221.96406845
p_177169,41.302547,-92.666749,257,10228.3001471
p_177169,41.302384,-92.666672,258,10247.51719661
p_177169,41.302219,-92.666608,259,10266.60986034
p_177169,41.302052,-92.666556,260,10285.66127387
p_177169,41.301888,-92.666505,261,10304.36918815
p_177169,41.301708,-92.66646,262,10324.71209393
p_177169,41.30166,-92.666449,263,10330.12197931
p_177169,41.301549,-92.666424,264,10342.62615206
p_177169,41.29975,-92.66601,265,10545.40891774
p_177169,41.299062,-92.665881,266,10622.57806127
p_177169,41.298341,-92.665715,267,10703.85013381
p_177169,41.298024,-92.665634,268,10739.70374209
p_177169,41.297758,-92.665576,269,10769.64235394
p_177169,41.297497,-92.665526,270,10798.92987491
p_177169,41.296857,-92.665385,271,10870.98245827
p_177169,41.296585,-92.665328,272,10901.5656099
p_177169,41.296532,-92.665329,273,10907.45236693
p_177169,41.296492,-92.665336,274,10911.93327506
p_177169,41.296442,-92.665349,275,10917.5920017
p_177169,41.296401,-92.665373,276,10922.56941583
p_177169,41.296367,-92.665405,277,10927.19996827
p_177169,41.296333,-92.665445,278,10932.2480193
p_177169,41.296302,-92.665491,279,10937.41498515
p_177169,41.29628,-92.66555,280,10942.92769555
p_177169,41.296258,-92.665631,281,10950.13859565
p_177169,41.296257,-92.665794,282,10963.79149256
p_177169,41.296246,-92.667716,283,11124.77773568
p_177169,41.296233,-92.669685,284,11289.70228827
p_177169,41.29687,-92.669685,285,11360.44728172
p_177169,41.29687107089,-92.6691435497923,286,11405.79743812
p_177169,41.2970479064249,-92.6689902836535,287,11429.25998378
p_177169,41.2980472238067,-92.6689902836535,288,11540.24383607
p_177169,41.2980472238067,-92.6698441949892,289,11611.76321668
p_177169,41.2980389990323,-92.6698551425737,290,11613.05747631
p_177169,41.2980307742569,-92.6713768563626,291,11740.51197736
p_177169,41.297892,-92.671357,292,11756.01366891
p_177169,41.297779,-92.671338,293,11768.6639036
p_177169,41.297709,-92.67133,294,11776.46690186
p_177169,41.297632,-92.671327,295,11785.02218676
p_177169,41.296889,-92.671325,296,11867.53968274
p_177169,41.296836,-92.671319,297,11873.44725776
p_177169,41.296788,-92.671311,298,11878.82006644
p_177169,41.296745,-92.671297,299,11883.73748401
p_177169,41.296718,-92.671283,300,11886.95721101
p_177169,41.296788,-92.671099,301,11904.21826229
p_177169,41.296817,-92.671017,302,11911.80398113
p_177169,41.296834,-92.670959,303,11917.01585466
p_177169,41.296855,-92.670868,304,11924.98654995
p_177169,41.296862,-92.670827,305,11928.5074682
p_177169,41.29687,-92.670746,306,11935.34967974
p_177169,41.296872,-92.670643,307,11943.97946315
p_177169,41.29687,-92.669685,308,12024.21854324
p_177169,41.296233,-92.669685,309,12094.96353669
p_177169,41.296127,-92.66968,310,12106.74330482
p_177169,41.296128,-92.669312,311,12137.56626445
p_177169,41.296128,-92.668839,312,12177.18356106
p_177169,41.296143,-92.667612,313,12279.96750055
p_177169,41.296161,-92.666033,314,12412.23564925
p_177169,41.296161,-92.66517,315,12484.5183337
p_177169,41.296161,-92.663344,316,12637.45944818
p_177169,41.296176,-92.663149,317,12653.87688891
p_177169,41.296199,-92.662927,318,12672.64566998
p_177169,41.296199,-92.662649,319,12695.93022921
p_177169,41.296197,-92.6618,320,12767.04061599
p_177169,41.296196,-92.660331,321,12890.08030212
p_177169,41.296204,-92.659218,322,12983.30652885
p_177169,41.295757,-92.659222,323,13032.95131544
p_177169,41.295294,-92.659223,324,13084.3719898
p_177169,41.295294,-92.658632,325,13133.8733017
p_177169,41.295294,-92.658039,326,13183.54213073
p_177169,41.295294,-92.657454,327,13232.54089124
p_177169,41.295294,-92.656981,328,13272.15869248
p_177169,41.295294,-92.656865,329,13281.87468602
p_177169,41.295309,-92.65569,330,13380.30508689
p_177169,41.295309,-92.65511,331,13428.88504345
p_177169,41.295308,-92.654524,332,13477.96767731
p_177169,41.295225,-92.654523,333,13487.18600625
p_177169,41.294369,-92.654516,334,13582.25484074
p_177169,41.29391,-92.654511,335,13633.23291638
p_177169,41.293581,-92.654507,336,13669.77305756
p_177169,41.293467,-92.654505,337,13682.43495857
p_177169,41.293031,-92.654505,338,13730.85693564
p_177169,41.292583,-92.654504,339,13780.61169434
p_177169,41.29213,-92.654504,340,13830.92167645
p_177169,41.291796,-92.654503,341,13868.01566257
p_177169,41.291707,-92.654503,342,13877.89996265
p_177169,41.291262,-92.654505,343,13927.32174468
p_177169,41.290815,-92.654505,344,13976.965358
p_177169,41.289934,-92.654518,345,14074.81485881
p_177169,41.289803,-92.654514,346,14089.36751304
p_177169,41.289566,-92.654521,347,14115.69514766
p_177169,41.288932,-92.654518,348,14186.107321
p_177169,41.288869,-92.654519,349,14193.10457068
p_177169,41.287138,-92.654518,350,14385.34854688
p_177169,41.286987,-92.654518,351,14402.11852544
p_177169,41.28537,-92.654531,352,14581.70494759
p_177169,41.285269,-92.654532,353,14592.92226252
p_177169,41.285269,-92.654378,354,14605.82305622
p_177169,41.2852651205417,-92.6534483310454,355,14683.70390869
p_177169,41.285268,-92.65345,356,14684.0529263
p_177169,41.285268,-92.653321,357,14694.85943547
p_177169,41.285263,-92.652155,358,14792.53845712
p_177169,41.285272,-92.649779,359,14991.58178844
p_177169,41.285272,-92.649726,360,14996.02167178
p_177169,41.28527,-92.647633,361,15171.35532148
p_177169,41.285274,-92.645931,362,15313.9349088
p_177169,41.285274,-92.645911,363,15315.61033643
p_177169,41.285272,-92.645815,364,15323.65545599
p_177169,41.285263,-92.645656,365,15337.01255789
p_177169,41.28429,-92.645659,366,15445.07366231
p_177169,41.283445,-92.645651,367,15538.92124731
p_177169,41.283385,-92.64565,368,15545.58533729
p_177169,41.282983,-92.645649,369,15590.2312889
p_177169,41.282735,-92.645645,370,15617.77605337
p_177169,41.28248,-92.645641,371,15646.09817632
p_177169,41.282214,-92.645633,372,15675.64756987
p_177169,41.282022,-92.645626,373,15696.97903028
p_177169,41.281838,-92.645616,374,15717.43111802
p_177169,41.281643,-92.645601,375,15739.12412081
p_177169,41.281594,-92.645597,376,15744.57633705
p_177169,41.281323,-92.645569,377,15774.76469517
p_177169,41.281196,-92.645553,378,15788.93278283
p_177169,41.281026,-92.645531,379,15807.90261999
p_177169,41.280853,-92.645506,380,15827.22970477
p_177169,41.280271,-92.64541,381,15892.3646823
p_177169,41.280004,-92.645366,382,15922.245767
p_177169,41.279348,-92.645246,383,15995.79105653
p_177169,41.278481,-92.645101,384,16092.8427624
p_177169,41.278479,-92.644918,385,16108.17612406
p_177169,41.278475,-92.644519,386,16141.6073251
p_177169,41.27847,-92.644039,387,16181.8255969
p_177169,41.278469,-92.64397,388,16187.60748936
p_177169,41.278463,-92.643294,389,16244.24674859
p_177169,41.278459,-92.64256,390,16305.74294222
p_177169,41.279991,-92.642552,391,16475.88712364
p_177169,41.280053,-92.64255,392,16482.77484011
p_177169,41.280088,-92.642547,393,16486.67003352
p_177169,41.280145,-92.64254,394,16493.02752122
p_177169,41.280176,-92.642533,395,16496.51995012
p_177169,41.280211,-92.642522,396,16500.51477554
p_177169,41.280232,-92.642516,397,16502.90057626
p_177169,41.280283,-92.642496,398,16508.80723993
p_177169,41.280327,-92.642473,399,16514.06003532
p_177169,41.280373,-92.642445,400,16519.68158088
p_177169,41.280593,-92.642299,401,16547.00527177
p_177169,41.280685,-92.64225,402,16558.01654853
p_177169,41.28076,-92.64222,403,16566.71692213
p_177169,41.28088,-92.642181,404,16580.43870907
p_177169,41.280934,-92.642168,405,16586.53400243
p_177169,41.281033,-92.642156,406,16597.57474283
p_177169,41.281156,-92.64215,407,16611.24428739
p_177169,41.281506,-92.642144,408,16650.11830973
p_177169,41.281513,-92.642144,409,16650.8957252
p_177169,41.281595,-92.642142,410,16660.00413345
p_177169,41.2816,-92.640474,411,16799.74374341
p_177169,41.281605,-92.638605,412,16956.32221547
p_177169,41.281611,-92.637693,413,17032.72889679
p_177169,41.28161,-92.637263,414,17068.75277658
p_177169,41.281614,-92.637128,415,17080.07126655
p_177169,41.281618,-92.637065,416,17085.36782092
p_177169,41.281635,-92.636928,417,17096.99939062
p_177169,41.281635,-92.636928,418,17096.99939062
p_177169,41.281667,-92.636764,419,17111.19085433
p_177169,41.281703,-92.636583,420,17126.87254231
p_177169,41.281723,-92.636468,421,17136.75950896
p_177169,41.281738,-92.636335,422,17148.02555228
p_177169,41.281747,-92.636134,423,17164.89414703
p_177169,41.281754,-92.632078,424,17504.69003583
p_177169,41.281754,-92.631937,425,17516.50243533
p_177169,41.283964,-92.631922,426,17761.9468804
p_177169,41.28404,-92.631922,427,17770.38739491
p_177169,41.285352,-92.631916,428,17916.09821413
p_177169,41.286082,-92.631918,429,17997.17177452
p_177169,41.286191,-92.631918,430,18009.27725378
p_177169,41.287027,-92.631918,431,18102.12295556
p_177169,41.287063,-92.631918,432,18106.12109613
p_177169,41.287159,-92.631916,433,18116.78412071
p_177169,41.287983,-92.631918,434,18208.29727777
p_177169,41.288026,-92.631918,435,18213.07283536
p_177169,41.288491,-92.631916,436,18264.71576709
p_177169,41.28897,-92.631914,437,18317.91352802
p_177169,41.288975,-92.633313,438,18435.10438828
p_177169,41.288977,-92.633868,439,18481.59540767
p_177169,41.288973,-92.634418,440,18527.66920561
p_177169,41.288968,-92.635096,441,18584.4657113
p_177169,41.288959,-92.636614,442,18711.62743328
p_177169,41.288958,-92.636791,443,18726.4545496
p_177169,41.289984,-92.636796,444,18840.40237381
p_177169,41.290427,-92.636802,445,18889.60430885
p_177169,41.290871,-92.636807,446,18938.91651883
p_177169,41.291254,-92.63681,447,18981.4530642
p_177169,41.291291,-92.63681,448,18985.56226726
p_177169,41.291321,-92.63681,449,18988.89405354
p_177169,41.291767,-92.636813,450,19038.42724911
p_177169,41.292202,-92.636817,451,19086.73931778
p_177169,41.292636,-92.636821,452,19134.9403332
p_177169,41.293093,-92.636825,453,19185.69566392
p_177169,41.293533,-92.636829,454,19234.56302843
p_177169,41.293978,-92.636828,455,19283.98461706
p_177169,41.294432,-92.636827,456,19334.40574455
p_177169,41.2944296741579,-92.6369558192581,457,19345.19869446
p_177169,41.294425,-92.637413,458,19383.49552258
p_177169,41.294418,-92.638008,459,19433.33859599
p_177169,41.294405,-92.640927,460,19677.83740517
p_177169,41.294403,-92.641524,461,19727.84244146
p_177169,41.294408,-92.642086,462,19774.91866891
p_177169,41.294414,-92.64268,463,19824.67638959
p_177169,41.294409,-92.643275,464,19874.51650099
p_177169,41.294399,-92.64388,465,19925.20329015
p_177169,41.294402,-92.644508,466,19977.80544191
p_177169,41.294406,-92.644877,467,20008.71596489
p_177169,41.2944018925961,-92.6448857239799,468,20009.57738044
p_177169,41.2944018925961,-92.6450926131036,469,20026.90635265
p_177169,41.292610474621,-92.6450985545555,470,20225.86111268
p_177169,41.2926115517321,-92.6452720166885,471,20240.39113976
p_177169,41.292611,-92.64527,472,20240.57083181
p_177169,41.29261,-92.64572,473,20278.26389435
p_177169,41.292609,-92.646286,474,20325.67331581
p_177169,41.292608,-92.646884,475,20375.76311504
p_177169,41.292607,-92.647461,476,20424.09391748
p_177169,41.292606,-92.648062,477,20474.43500363
p_177169,41.292605,-92.648644,478,20523.18461647
p_177169,41.292604,-92.649226,479,20571.93423005
p_177169,41.292603,-92.649595,480,20602.84261
p_177169,41.292603,-92.649822,481,20621.85658564
p_177169,41.293488,-92.64982,482,20720.14445359
p_177169,41.2934999262679,-92.6492807735288,483,20765.32994777
p_177169,41.2936158890708,-92.6490286821657,484,20790.06295964
p_177169,41.2936809990099,-92.6488078599098,485,20809.92243394
p_177169,41.2936925952708,-92.6483139666116,486,20851.31128519
p_177169,41.2942685401254,-92.6482830982804,487,20915.32772181
p_177169,41.2943690400513,-92.6483396902193,488,20927.45403648
p_177169,41.2943990379746,-92.6485182156309,489,20942.77391456
